Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.4291E-05,0.2849,-0.027553,0,0,0,3.4185,0.0053011,5.2629E-08,-7.1774E-08,0.0046376,4.9685E-05,0.0062191,0,0,0,0,0,0,package://robot_upbody/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_upbody/meshes/base_link.STL,,link_base-1,Coordinate System1 <link_base-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_link_1,-0.0169394233480525,0.0493510356397495,-0.00734818946133349,0,0,0,0.242454600524403,0.000245618746846525,6.78472695890831E-06,-7.44163235765114E-07,0.000143684228728702,4.93240265822312E-07,0.000175534064378257,0,0,0,0,0,0,package://robot_upbody/meshes/right_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_upbody/meshes/right_link_1.STL,,right_link_1-1,Coordinate System3 <link_base-1>,Axis2 <link_base-1>,right_joint_1,revolute,-0.117,0.2535,-0.03,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
right_link_2,-0.04667868471523,-2.33852948117175E-09,-0.00131249174790722,0,0,0,0.151788080599915,0.00012970868164654,-9.77874852698615E-12,-4.51576857686109E-06,0.000152633166983656,1.84321949531787E-11,0.000174060835416301,0,0,0,0,0,0,package://robot_upbody/meshes/right_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_upbody/meshes/right_link_2.STL,,right_link_2-2,Origin_right_joint_2,Axis2 <right_link_1-1>,right_joint_2,revolute,-0.0335,0.061,-0.0075,0,0,0,right_link_1,1,0,0,0,0,0,0,,,,,,,,
right_link_3,-0.0146220588418826,-0.070163337621401,-0.00874523264180043,0,0,0,0.186162046008109,0.000287349852170535,-1.28089793297699E-05,2.09134392423303E-07,0.000171752665996351,7.60732255006257E-07,0.000294425740796336,0,0,0,0,0,0,package://robot_upbody/meshes/right_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_upbody/meshes/right_link_3.STL,,right_link_3-1,Origin_right_joint_3,Axis_right_joint_3,right_joint_3,revolute,-0.0735,0,0,0,0,0,right_link_2,0,0,1,0,0,0,0,,,,,,,,
right_link_4,0.00258400305403297,-0.0494378395979602,-0.000494226798544162,0,0,0,0.156942934381875,0.000205221076307093,1.94492246778472E-08,1.71616354975139E-07,0.000124345345430931,1.10317165751683E-05,0.000167084201768154,0,0,0,0,0,0,package://robot_upbody/meshes/right_link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_upbody/meshes/right_link_4.STL,,right_link_4-1,Origin_right_joint_4,Axis_right_joint_4,right_joint_4,revolute,-0.0095,-0.126,-0.0015,0,0,0,right_link_3,0,1,0,0,0,0,0,,,,,,,,
right_link_5,-0.00279324607741102,-0.0247714139955753,0.0614940746926684,0,0,0,0.397163798321493,0.000734575411390296,-2.81090420854605E-06,4.16242134114403E-05,0.00081959505124302,4.24699043657831E-05,0.000322500640832015,0,0,0,0,0,0,package://robot_upbody/meshes/right_link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_upbody/meshes/right_link_5.STL,,right_link_5-1,Origin_right_joint_5,Axis_right_joint_5,right_joint_5,revolute,0,-0.0915,0.01,0,0,0,right_link_4,1,0,0,0,0,0,0,,,,,,,,
right_link_6,2.67384432511841E-07,0.000899958551658531,0.024955823176817,0,0,0,0.084836029048728,3.09213078009674E-05,-4.08853044653094E-12,-4.74551637135629E-11,3.05523489847958E-05,-2.4959412436622E-08,4.54802589109175E-05,0,0,0,0,0,0,package://robot_upbody/meshes/right_link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_upbody/meshes/right_link_6.STL,,right_link_6-1,Origin_right_joint_6,Axis_right_joint_6,right_joint_6,revolute,-0.008,-0.015,0.124,0,0,0,right_link_5,0,0,1,0,0,0,0,,,,,,,,
right_link_7,-0.00169524257766807,-2.97113667419024E-08,0.0236554390828784,0,0,0,0.0197472199736857,1.30953803170028E-05,-2.13021119834906E-11,-1.12946107355419E-07,8.59262197237419E-06,1.59884908140898E-11,1.46639761209948E-05,0,0,0,0,0,0,package://robot_upbody/meshes/right_link_7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_upbody/meshes/right_link_7.STL,,right_link_7-1,Coordinate System1 <right_link_7-1>,Axis1 <right_link_1-1>,right_joint_7,revolute,0,0,0.04702,0,0.071536,0,right_link_6,0,1,0,0,0,0,0,,,,,,,,
left_link_1,0.0169394239205125,0.0493452416336612,-0.00733813111292299,0,0,0,0.242454607065276,0.000245618756775859,-6.78510827334542E-06,7.44769460901073E-07,0.000143671180961938,5.00782536399529E-07,0.000175547122189144,0,0,0,0,0,0,package://robot_upbody/meshes/left_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_upbody/meshes/left_link_1.STL,,left_link_1-1,Coordinate System2 <link_base-1>,Axis1 <link_base-1>,left_joint_1,revolute,0.117,0.2535,-0.03,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
left_link_2,0.0419886321313334,-1.85580528722085E-09,-0.00158397435093512,0,0,0,0.135704303079154,0.000116951548209488,3.20313882061185E-10,4.51577124364832E-06,0.0001460286247078,-9.93390694283449E-12,0.000167678664878982,0,0,0,0,0,0,package://robot_upbody/meshes/left_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_upbody/meshes/left_link_2.STL,,left_link_2-1,Origin_left_joint_2,Axis2 <left_link_1-1>,left_joint_2,revolute,0.043,0.061,-0.0075,0,0,0,left_link_1,-1,0,0,0,0,0,0,,,,,,,,
left_link_3,0.0160432889827714,-0.0769830120732114,-0.00553610142264579,0,0,0,0.169670551920723,0.000280520660976463,1.28089868995472E-05,-2.08655894183046E-07,0.000164923193272086,1.01807266421765E-06,0.000281442873040681,0,0,0,0,0,0,package://robot_upbody/meshes/left_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_upbody/meshes/left_link_3.STL,,left_link_3-1,Origin_left_joint_3,Axis_left_joint_3,left_joint_3,revolute,0.064,0,0,0,0,0,left_link_2,0,0,1,0,0,0,0,,,,,,,,
left_link_4,-0.00288741786760169,-0.0448313318590571,-0.000552259404888747,0,0,0,0.140451429329348,0.000198391595464958,1.59033420611229E-06,-1.71625526403715E-07,0.000111363306186003,1.10313782750582E-05,0.000160254153321471,0,0,0,0,0,0,package://robot_upbody/meshes/left_link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_upbody/meshes/left_link_4.STL,,left_link_4-1,Origin_left_joint_4,Axis_left_joint_4,left_joint_4,revolute,0.0095,-0.1355,-0.0015,0,0,0,left_link_3,0,1,0,0,0,0,0,,,,,,,,
left_link_5,0.00280103388542455,-0.0247714140771967,0.0614940778454403,0,0,0,0.397163785434917,0.000734575433595593,2.81099279932564E-06,-4.16243842598899E-05,0.000819595032776918,4.24699124985003E-05,0.000322500621143209,0,0,0,0,0,0,package://robot_upbody/meshes/left_link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_upbody/meshes/left_link_5.STL,,left_link_5-1,Origin_left_joint_5,Axis_left_joint_5,left_joint_5,revolute,0,-0.082,0.01,0,0,0,left_link_4,1,0,0,0,0,0,0,,,,,,,,
left_link_6,-0.0051989661145754,-0.00977141407719664,-0.0625059221545606,0,0,0,0.397163785434917,0.000734575433595593,2.81099279932564E-06,-4.16243842598899E-05,0.000819595032776919,4.24699124985003E-05,0.00032250062114321,0,0,0,0,0,0,package://robot_upbody/meshes/left_link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_upbody/meshes/left_link_6.STL,,left_link_5-1,Coordinate System1 <left_link_6-1>,Axis1 <left_link_6-1>,left_joint_6,revolute,0.008,-0.015,0.124,0,0,0,left_link_5,0,0,1,0,0,0,0,,,,,,,,
left_link_7,-0.00169496329193164,2.97113657288239E-08,0.0236554590959449,0,0,0,0.0197472199736856,1.30953906285953E-05,-1.88047606882376E-11,-1.13017687913152E-07,8.59262197237419E-06,-1.88624706146784E-11,1.46639658094022E-05,0,0,0,0,0,0,package://robot_upbody/meshes/left_link_7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_upbody/meshes/left_link_7.STL,,left_link_7-1,Coordinate System1 <left_link_7-1>,Axis1 <left_link_7-1>,left_joint_7,revolute,0,0,0.04702,0,0.071536,0,left_link_6,0,1,0,0,0,0,0,,,,,,,,
